date,state,unemployment_rate,percent_error
2021-11-01,Michigan,6.193151022455072,0.1
2021-11-01,Minnesota,3.9902984786212254,0.1
2021-11-01,Mississippi,6.826890393535346,0.2
2021-11-01,Missouri,4.504015890007817,0.1
2021-11-01,Montana,4.118903038578677,0.2
2021-11-01,Nebraska,3.3165018311874683,0.1
2021-11-01,Nevada,7.07454097541387,0.2
2021-11-01,New Hampshire,3.8120126165765154,0.2
2021-11-01,New Jersey,6.177603567180786,0.1
2021-11-01,New Mexico,6.608573037236949,0.3
2021-11-01,New York,6.165674597465214,0.1
2021-11-01,North Carolina,5.310925808973593,0.1
2021-11-01,North Dakota,3.2064138973363816,0.2
2021-11-01,Ohio,5.308829223847102,0.1
2021-11-01,Oklahoma,5.011385742955262,0.1
2021-11-01,Oregon,5.596309102857249,0.1
2021-11-01,Pennsylvania,5.499054984480398,0.1
2021-11-01,Puerto Rico,14.647029638609999,0.4
2021-11-01,Rhode Island,5.966746856842939,0.3
2021-11-01,South Carolina,5.314025125035227,0.2
2021-11-01,South Dakota,3.230839866116783,0.2
2021-11-01,Tennessee,5.309711345234537,0.1
2021-11-01,Texas,5.402996624480811,0.1
2021-11-01,Utah,3.512115689584612,0.1
2021-11-01,Vermont,3.9026471108903316,0.2
2021-11-01,Virginia,4.606286570742194,0.1
2021-11-01,Washington,5.08344678551043,0.1
2021-11-01,West Virginia,6.415320500437072,0.2
2021-11-01,Wisconsin,3.5124960034274606,0.1
2021-11-01,Wyoming,4.222143306742243,0.3
2021-12-01,Alabama,5.4,0.1
2021-12-01,Alaska,6.9,0.3
2021-12-01,Arizona,5.6,0.1
2021-12-01,Arkansas,5.3,0.2
2021-12-01,California,6.5,0.1
2021-12-01,Colorado,4.6,0.1
2021-12-01,Connecticut,6.1,0.2
2021-12-01,Delaware,5.7,0.3
2021-12-01,District of Columbia,7.1,0.4
2021-12-01,Florida,5.3,0.1
2021-12-01,Georgia,5.5,0.1
2021-12-01,Hawaii,5.2,0.2
2021-12-01,Idaho,4.0,0.2
2021-12-01,Illinois,6.2,0.1
2021-12-01,Indiana,4.7,0.1
2021-12-01,Iowa,3.9,0.2
2021-12-01,Kansas,4.1,0.1
2021-12-01,Kentucky,5.3,0.1
2021-12-01,Louisiana,6.8,0.2
2021-12-01,Maine,4.2,0.2
2021-12-01,Maryland,5.3,0.1
2021-12-01,Massachusetts,5.4,0.1
2021-12-01,Michigan,6.2,0.1
2021-12-01,Minnesota,4.0,0.1
2021-12-01,Mississippi,6.8,0.2
2021-12-01,Missouri,4.5,0.1
2021-12-01,Montana,4.1,0.2
2021-12-01,Nebraska,3.3,0.1
2021-12-01,Nevada,7.1,0.2
2021-12-01,New Hampshire,3.8,0.2
2021-12-01,New Jersey,6.2,0.1
2021-12-01,New Mexico,6.6,0.3
2021-12-01,New York,6.2,0.1
2021-12-01,North Carolina,5.3,0.1
2021-12-01,North Dakota,3.2,0.2
2021-12-01,Ohio,5.3,0.1
2021-12-01,Oklahoma,5.0,0.1
2021-12-01,Oregon,5.6,0.1
2021-12-01,Pennsylvania,5.5,0.1
2021-12-01,Puerto Rico,14.6,0.4
2021-12-01,Rhode Island,6.0,0.3
2021-12-01,South Carolina,5.3,0.2
2021-12-01,South Dakota,3.2,0.2
2021-12-01,Tennessee,5.3,0.1
2021-12-01,Texas,5.4,0.1
2021-12-01,Utah,3.5,0.1
2021-12-01,Vermont,3.9,0.2
2021-12-01,Virginia,4.6,0.1
2021-12-01,Washington,5.1,0.1
2021-12-01,West Virginia,6.4,0.2
2021-12-01,Wisconsin,3.5,0.1
2021-12-01,Wyoming,4.2,0.3
2022-01-01,Alabama,5.383305022174388,0.2
2022-01-01,Alaska,6.861917856439301,0.3
2022-01-01,Arizona,5.578012302964766,0.1
2022-01-01,Arkansas,5.29781559194484,0.2
2022-01-01,California,6.5148752331754665,0.1
2022-01-01,Colorado,4.586462462423803,0.1
2022-01-01,Connecticut,6.099557284234444,0.2
2022-01-01,Delaware,5.673162735637917,0.3
2022-01-01,District of Columbia,7.0915395300849635,0.4
2022-01-01,Florida,5.285588444963635,0.1
2022-01-01,Georgia,5.4832757076653875,0.1
2022-01-01,Hawaii,5.234559206936412,0.2
2022-01-01,Idaho,3.9797947574896613,0.2
2022-01-01,Illinois,6.203240313738516,0.1
2022-01-01,Indiana,4.69384185806463,0.1
2022-01-01,Iowa,3.8903356860104146,0.1
2022-01-01,Kansas,4.095576458892012,0.1
2022-01-01,Kentucky,5.2896075357352474,0.1
2022-01-01,Louisiana,6.8045879103203895,0.2
2022-01-01,Maine,4.210216799476278,0.2
2022-01-01,Maryland,5.2964430202903605,0.1
2022-01-01,Massachusetts,5.408506544086038,0.1
2022-01-01,Michigan,6.204071199767149,0.1
2022-01-01,Minnesota,4.0083126324898855,0.1
2022-01-01,Mississippi,6.772415162020208,0.2
2022-01-01,Missouri,4.494595221103294,0.1
2022-01-01,Montana,4.0804025169768785,0.2
2022-01-01,Nebraska,3.282803724368087,0.1
